target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,0.03490443229675293,0.0020823825235368183,0.004328632354736328,0.0009632065461307949,0.001,{'regressor__model__alpha': 0.001},-26.00968590724167,-24.630186389767534,-25.3025163556124,-26.63467211055879,-25.72840816610737,-25.661093785857553,0.6730899315844626,1
identity,0.019926166534423827,0.011771773094645508,0.003407144546508789,0.0014041279573341432,0.01,{'regressor__model__alpha': 0.01},-26.02404359665746,-24.674341544028564,-25.322096341346857,-26.625300405325973,-25.73837939889276,-25.67683225725033,0.6564694650780106,2
identity,0.010387468338012695,0.0013515539351509388,0.0031100749969482423,0.0007189548460240338,0.1,{'regressor__model__alpha': 0.1},-26.152802303679895,-24.852526581143657,-25.482024547585713,-26.695409467901708,-26.02275773776441,-25.84110412761508,0.6270909203084023,3
identity,0.008866167068481446,0.0011965479820698584,0.0034000396728515623,0.0011779946500749224,1.0,{'regressor__model__alpha': 1.0},-26.152802303679895,-24.852526581143657,-25.482024547585713,-26.695409467901708,-26.02275773776441,-25.84110412761508,0.6270909203084023,3
identity,0.007777976989746094,0.0014163791939564593,0.0030922889709472656,0.0011844248677063858,10.0,{'regressor__model__alpha': 10.0},-26.152802303679895,-24.852526581143657,-25.482024547585713,-26.695409467901708,-26.02275773776441,-25.84110412761508,0.6270909203084023,3
log1p,0.009613704681396485,0.0019224201039710544,0.004894542694091797,0.0008057923603135059,0.001,{'regressor__model__alpha': 0.001},-21.86231503744292,-19.997014777578563,-20.633773721988035,-23.030850152733688,-22.03958060404975,-21.51270685875859,1.0746559288429796,1
log1p,0.009406471252441406,0.0006952913770058546,0.0031703948974609376,0.0009347543857896684,0.01,{'regressor__model__alpha': 0.01},-21.88072700732533,-20.020965627735002,-20.65472689065601,-23.028550955925535,-22.05339452366213,-21.5276730010608,1.0663833181900233,2
log1p,0.008283042907714843,0.0022457102654391196,0.0028423309326171876,0.0006665160580907591,0.1,{'regressor__model__alpha': 0.1},-22.02518743675674,-20.21311656670632,-20.79954301451523,-23.13369118804728,-22.234031824435476,-21.68111400609221,1.045587777692607,3
log1p,0.007655429840087891,0.0017224939050390997,0.003521299362182617,0.0013212711491205511,1.0,{'regressor__model__alpha': 1.0},-22.02518743675674,-20.21311656670632,-20.79954301451523,-23.13369118804728,-22.234031824435476,-21.68111400609221,1.045587777692607,3
log1p,0.006987428665161133,0.0008580681892790988,0.002966785430908203,0.0008257358187164877,10.0,{'regressor__model__alpha': 10.0},-22.02518743675674,-20.21311656670632,-20.79954301451523,-23.13369118804728,-22.234031824435476,-21.68111400609221,1.045587777692607,3
