target_transform,fold,seed,mae,equation,run_id
identity,0,42,26.0190904056425,Age*0.059875216*LDL - 1*(-17.649862),20260824_104213_Xq5XEg
identity,1,43,24.872595686253828,Age/4.438431 + 17.565567,20260824_104534_DQULgE
identity,2,44,25.393258026378668,LDL*Age*0.055806447 + 18.86478,20260824_104928_K6alyN
identity,3,45,26.581405164078735,Age*LDL*0.06415953 + 16.581797,20260824_105319_uBojzO
identity,4,46,25.747558733351283,Age*0.24625632 + TC - 1*(-10.216755),20260824_105720_QZ8rYA
log1p,0,42,21.894726735184026,LDL*Age*0.0017318112 + 2.4758441,20260824_110044_HQzRDS
log1p,1,43,20.02185818131392,2.4802642 - LDL/((-579.7217/Age)),20260824_110312_o5SKxc
log1p,2,44,20.70390103412517,LDL*Age*0.0017246248 - 1*(-2.4923193),20260824_110539_Snv8YL
log1p,3,45,23.04177196225334,LDL*Age*0.0018799197 + 2.4355524,20260824_110815_btTthq
log1p,4,46,22.070102329893814,Age*LDL/569.56726 + 2.471879,20260824_111044_O1rX5A
