complexity,loss,equation,score,sympy_format,lambda_format
1,1.0819005,2.7652693,0.0,2.76526930000000,PySRFunction(X=>2.76526930000000)
5,1.0733911,2.456537 - (Age * -0.0065026744),0.0019740818863647905,2.456537 - (-0.0065026744)*Age,PySRFunction(X=>2.456537 - (-0.0065026744)*Age)
6,1.0732951,(square(Age) * 6.69564e-5) + 2.6013606,8.94401799985034e-05,Age**2*6.69564e-5 + 2.6013606,PySRFunction(X=>Age**2*6.69564e-5 + 2.6013606)
7,1.0666857,(LDL * (Age * 0.0017940694)) + 2.4696302,0.006177084407374299,LDL*Age*0.0017940694 + 2.4696302,PySRFunction(X=>LDL*Age*0.0017940694 + 2.4696302)
9,1.0658791,(((LDL * -10.485507) - Age) * -0.007601114) + 2.1393487,0.00037823002539644283,2.1393487 + (-Age + LDL*(-10.485507))*(-0.007601114),PySRFunction(X=>2.1393487 + (-Age + LDL*(-10.485507))*(-0.007601114))
10,1.0657474,2.1502964 - ((square(LDL + 3.5513058) + Age) * -0.0063221483),0.0001235676139020508,2.1502964 - (-0.0063221483)*(Age + (LDL + 3.5513058)**2),PySRFunction(X=>2.1502964 - (-0.0063221483)*(Age + (LDL + 3.5513058)**2))
11,1.0634081,((LDL / (TG + 7.9405446)) + 2.010773) - (Age * -0.007973496),0.0021973979272880704,-(-0.007973496)*Age + LDL/(TG + 7.9405446) + 2.010773,PySRFunction(X=>-(-0.007973496)*Age + LDL/(TG + 7.9405446) + 2.010773)
13,1.0627517,(((LDL + 3.4724917) / (TG + 8.412193)) + 1.685648) - (Age * -0.00737671),0.0003087256286447359,-(-0.00737671)*Age + (LDL + 3.4724917)/(TG + 8.412193) + 1.685648,PySRFunction(X=>-(-0.00737671)*Age + (LDL + 3.4724917)/(TG + 8.412193) + 1.685648)
16,1.0625567,(((LDL + 2.6501076) / (square(HDL - TG) + 9.681162)) - (Age * -0.005646704)) + 1.9185356,6.116759354301275e-05,-(-0.005646704)*Age + (LDL + 2.6501076)/((HDL - TG)**2 + 9.681162) + 1.9185356,PySRFunction(X=>-(-0.005646704)*Age + (LDL + 2.6501076)/((HDL - TG)**2 + 9.681162) + 1.9185356)
18,1.0620037,(((TG * ((4.9336405 * Gender) + LDL)) - (square(LDL + 4.9336405) + Age)) * -0.0063946024) + 2.0473552,0.0002602891461634489,2.0473552 + (TG*(4.9336405*Gender + LDL) - (Age + (LDL + 4.9336405)**2))*(-0.0063946024),PySRFunction(X=>2.0473552 + (TG*(4.9336405*Gender + LDL) - (Age + (LDL + 4.9336405)**2))*(-0.0063946024))
