target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__max_features,param_regressor__model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,0.30432634353637694,0.004257963885865233,0.02146291732788086,0.0035097033612921215,1.0,50,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 50}",-26.718883658372565,-25.52547779273217,-26.134966352624495,-27.243822341857335,-26.298304172274563,-26.384290863572225,0.5758234128586057,4
identity,0.558306360244751,0.031342767514432955,0.04052181243896484,0.0018815373578688235,1.0,100,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 100}",-26.754357767316748,-25.464541049798118,-26.043997308209963,-27.11418573351279,-26.280235531628534,-26.33146347809323,0.5706679081557656,3
identity,3.083405637741089,0.04026056711124207,0.22144756317138672,0.025626580202445827,1.0,500,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 500}",-26.697689307330194,-25.50804952893674,-26.070738896366084,-26.918041722745624,-26.325509645580983,-26.304005820191925,0.49405446410624076,2
identity,6.191724872589111,0.2058197898416961,0.4005887508392334,0.020456018691942322,1.0,1000,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 1000}",-26.64452488231338,-25.503413279497533,-26.046837723514706,-26.913356662180348,-26.35711484970839,-26.293049479442868,0.48919646124380234,1
identity,0.7094498157501221,0.0089034187253415,0.02109050750732422,0.0019905137245788936,5.0,50,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 50}",-27.786577000672494,-27.138802153432028,-27.65942126514132,-28.00479138627187,-27.383956931359354,-27.59470974737541,0.3037881030103983,10
identity,1.5969844341278077,0.07973201335231055,0.04445562362670898,0.00324300180883807,5.0,100,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 100}",-27.6205985205111,-26.865188425302826,-27.428761776581425,-27.919118438761775,-27.312705248990575,-27.42927448202954,0.34880760255465965,7
identity,7.817128086090088,0.07740942510286106,0.20074477195739746,0.0074156390676724665,5.0,500,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 500}",-27.589385339609954,-26.784834454912513,-27.2580995962315,-27.87031897711978,-27.34131493943472,-27.36879066146169,0.3617194885057148,5
identity,16.634756660461427,0.18831552528912146,0.5319608211517334,0.15059504118043412,5.0,1000,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 1000}",-27.600760591795567,-26.736884925975772,-27.314783310901745,-27.89384185733513,-27.359458950201887,-27.381145927242024,0.3823700503947083,6
identity,0.9930247783660888,0.05707548263226142,0.02493143081665039,0.0034887326173643042,1.0,50,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 50}",-28.08320107599193,-27.251022880215345,-27.507281292059226,-28.16769851951548,-27.710430686406458,-27.74392689083769,0.34489617707490156,12
identity,2.2294287204742433,0.3795694910935456,0.04518599510192871,0.0029125252555353993,1.0,100,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 100}",-27.818533960995296,-27.0406931359354,-27.511985195154775,-28.099434724091516,-27.571668909825032,-27.608463185200407,0.3516269139159299,11
identity,9.159649848937988,0.16931386570583262,0.20338139533996583,0.010457047338304,1.0,500,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 500}",-27.754883658372563,-26.96129744279946,-27.355682368775238,-28.02362987886945,-27.44734993270525,-27.508568656304398,0.361271884707009,9
identity,17.815334415435792,0.2990405634623796,0.35556793212890625,0.05247337438320844,1.0,1000,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 1000}",-27.70853059852051,-26.919604306864063,-27.4157799461642,-27.98679676985195,-27.466879542395695,-27.499518232759282,0.3536959394593079,8
log1p,0.27188568115234374,0.005499933630858802,0.025003385543823243,0.0028230020754267636,1.0,50,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 50}",-22.39410894790975,-20.63356615408123,-21.167069572632286,-23.33233370949412,-22.365318570967585,-21.978479391016997,0.9615083466744335,4
