target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__C,param_regressor__model__epsilon,param_regressor__model__kernel,param_regressor__model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,0.9310158252716064,0.025090770129477434,0.07030491828918457,0.004650405794273649,0.1,0.1,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-21.613472943347265,-19.710055376352823,-20.325919398288683,-22.876420445948494,-21.865525624501366,-21.278278757687723,1.1293877813789033,4
identity,0.5207273006439209,0.03738070253410784,0.0396390438079834,0.0036487816467352186,0.1,0.5,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-24.611447333894557,-23.175662471511117,-23.81415979209649,-25.3741206190987,-24.52123912584235,-24.299325868488644,0.7483120485845771,13
identity,0.2608287811279297,0.015891116664956743,0.01978759765625,0.0006124685387621368,0.1,1.0,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-33.037412449089175,-32.22723898000324,-32.885350134846824,-32.95854346324429,-32.566086805137786,-32.734926366464265,0.3001276482062396,25
identity,1.3523067474365233,0.06761662473074202,0.07047786712646484,0.005243831086436525,0.5,0.1,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-21.61342251168093,-19.709905685914737,-20.325848684889763,-22.87656637859331,-21.8654985377577,-21.27824835976729,1.129476768800361,3
identity,0.7782712459564209,0.04884839774577943,0.03857078552246094,0.0039578614781786625,0.5,0.5,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-24.61131949780303,-23.173782774620207,-23.81471234581215,-25.374981485104968,-24.52231181818472,-24.299421584305016,0.749105498679743,14
identity,0.4047705173492432,0.011930764864640009,0.021863412857055665,0.0019717325604654647,0.5,1.0,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-33.03816001715069,-32.231516423251584,-32.88454244198566,-32.953836240988124,-32.563791005163054,-32.73436922570782,0.29831677154027686,24
identity,2.143976831436157,0.14982009958545764,0.06920924186706542,0.0024038708831989174,1.0,0.1,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-21.613390379985596,-19.709874869627516,-20.325613969731332,-22.87670966862896,-21.865524269779378,-21.278222631550555,1.1295662359035863,2
identity,1.1142500400543214,0.09754643626624053,0.044846391677856444,0.003140909847287342,1.0,0.5,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-24.61142366470916,-23.176279345258052,-23.815541053952668,-25.374354804520326,-24.52057850270634,-24.299635474229312,0.7479740285192713,15
identity,0.5415261745452881,0.03249871709324654,0.022512197494506836,0.0032276962405057485,1.0,1.0,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-33.03620282364504,-32.23214693751246,-32.88642158335884,-32.95330591093485,-32.56174334416741,-32.733964119923726,0.2980546304399467,22
identity,9.427145957946777,0.6912862965524145,0.09595141410827637,0.010843656036114261,10.0,0.1,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-21.613428202671447,-19.710529118659302,-20.32564467318409,-22.876550325456837,-21.86600047058445,-21.278430558111225,1.1293860704858436,5
