model_id,model_family,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_BestOfFamily_1_AutoML_2_20260824_112824,StackedEnsemble,0.5772998271972208,0.4636489715565441,0.2178701602302013,0.451033429157631,0.3807951604891701,0.1450049542519728,6319,0.032663,StackedEnsemble
XGBoost_grid_1_AutoML_2_20260824_112824_model_4,XGBoost,0.5772907126667812,0.4636123248127845,0.2175634746177976,0.4470824923666097,0.3808164304990061,0.1450211537380043,619,0.001182,XGBoost
StackedEnsemble_AllModels_1_AutoML_2_20260824_112824,StackedEnsemble,0.5762504899262991,0.4637445954726002,0.2172358627464599,0.4495448554538883,0.3808405173345077,0.1450394996436154,10477,0.041483,StackedEnsemble
GBM_grid_1_AutoML_2_20260824_112824_model_1,GBM,0.5728666735483574,0.4650936341404374,0.2124035675639872,0.4455834222295676,0.3815258534149528,0.145561976824008,783,0.002492,GBM
GBM_5_AutoML_2_20260824_112824,GBM,0.5726516554918025,0.4648927203327193,0.2125410737067022,0.4533173737464796,0.3814000379141558,0.1454659889209194,672,0.003079,GBM
GBM_2_AutoML_2_20260824_112824,GBM,0.5716334156724849,0.4650738473382458,0.2129793942244032,0.4489869376791489,0.3814616267128797,0.1455129726544364,771,0.003451,GBM
XGBoost_3_AutoML_2_20260824_112824,XGBoost,0.570583633224803,0.4662570442783552,0.2125522551651239,0.4474197554977939,0.3819333730713163,0.1458731014656333,4161,0.001422,XGBoost
GBM_3_AutoML_2_20260824_112824,GBM,0.5693950761966398,0.4655383476238104,0.21187191436893,0.4563315821192528,0.3816644366832603,0.1456677422287504,692,0.003189,GBM
XGBoost_grid_1_AutoML_2_20260824_112824_model_6,XGBoost,0.5691031376243549,0.4657641443932898,0.2134403126925755,0.4502004547480606,0.3816804734446723,0.1456799838089492,2607,0.003109,XGBoost
GLM_1_AutoML_2_20260824_112824,GLM,0.5637560662289466,0.4650238483426133,0.2147576937153078,0.4679722518543003,0.3812973507577461,0.1453876696948756,406,0.000573,GLM
GBM_1_AutoML_2_20260824_112824,GBM,0.5624642861581376,0.4663451205661392,0.209742053308844,0.4630908886785428,0.381894344514516,0.1458432903721718,2267,0.005042,GBM
GBM_4_AutoML_2_20260824_112824,GBM,0.561017334162846,0.4684902336171731,0.2096643894167811,0.4616903765026802,0.3828483121236851,0.1465728300959546,1088,0.004744,GBM
GBM_grid_1_AutoML_2_20260824_112824_model_2,GBM,0.5523514792945506,0.4719147117869381,0.2041973347299635,0.4758587251027941,0.384308206311254,0.1476927974381734,1314,0.004732,GBM
XGBoost_grid_1_AutoML_2_20260824_112824_model_2,XGBoost,0.5492961871352449,0.4779017928751078,0.20536154847872,0.4841717333346688,0.3862814720501721,0.1492133756492478,1978,0.002517,XGBoost
XGBoost_2_AutoML_2_20260824_112824,XGBoost,0.5483327434741261,0.4815899355019652,0.2040111650632757,0.4920116508322858,0.3877882230863994,0.150379705964507,1316,0.003094,XGBoost
XRT_1_AutoML_2_20260824_112824,XRT,0.547123993506355,0.4837705808546874,0.2016662262365885,0.4731946343401562,0.388293164706995,0.1507715817581734,5491,0.014827,DRF
XGBoost_grid_1_AutoML_2_20260824_112824_model_5,XGBoost,0.5461230344286722,0.4785829920961429,0.2017880642004726,0.4843443297557816,0.3867320324181733,0.149561664898291,1174,0.002795,XGBoost
XGBoost_1_AutoML_2_20260824_112824,XGBoost,0.5443487268037402,0.486433218394028,0.2036784156639065,0.4883294060396018,0.3894627468651429,0.1516812311957423,1798,0.004374,XGBoost
DRF_1_AutoML_2_20260824_112824,DRF,0.543880347523528,0.4904223696705324,0.2007335336339568,0.4881037222898334,0.390180050018842,0.152240471432706,3602,0.013282,DRF
XGBoost_grid_1_AutoML_2_20260824_112824_model_3,XGBoost,0.5419350433314655,0.483014909782696,0.1997930631973228,0.4909312277029046,0.3882646131648982,0.150749409836088,1366,0.003085,XGBoost
GBM_grid_1_AutoML_2_20260824_112824_model_3,GBM,0.5411316128920964,0.4724798762677793,0.2002373662322414,0.4950307631053082,0.3843553761627146,0.1477290551851818,1026,0.005277,GBM
XGBoost_grid_1_AutoML_2_20260824_112824_model_1,XGBoost,0.5353635109384567,0.4977882583578919,0.1974123801747801,0.4911920943285037,0.3929926743050489,0.1544432420574342,2259,0.0038,XGBoost
