target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,0.04720005989074707,0.003264261968573554,0.004611015319824219,0.0015987877976744657,0.001,{'regressor__model__alpha': 0.001},-25.668049322584693,-25.789828268816706,-26.262096679571968,-25.890288449467928,-25.79820435943639,-25.881693415975537,0.20289600489938553,1
identity,0.040351343154907224,0.014833309101450596,0.005015087127685547,0.00034601695531159506,0.01,{'regressor__model__alpha': 0.01},-25.67070949609441,-25.81288228743949,-26.2706321533845,-25.909930706880033,-25.83693146920869,-25.900217222601423,0.20080231409647933,2
identity,0.01641111373901367,0.002297062720211396,0.005711793899536133,0.001957056283034119,0.1,{'regressor__model__alpha': 0.1},-25.81211437533061,-26.039592320192195,-26.412200041668672,-26.11281835579586,-26.125917133232008,-26.100528445243867,0.19226580478980906,3
identity,0.013955640792846679,0.0032099728668014416,0.005122947692871094,0.002029743918100589,1.0,{'regressor__model__alpha': 1.0},-25.81211437533061,-26.039592320192195,-26.412200041668672,-26.11281835579586,-26.125917133232008,-26.100528445243867,0.19226580478980906,3
identity,0.012729167938232422,0.002179968066313513,0.0029182910919189455,0.0010537660749215423,10.0,{'regressor__model__alpha': 10.0},-25.81211437533061,-26.039592320192195,-26.412200041668672,-26.11281835579586,-26.125917133232008,-26.100528445243867,0.19226580478980906,3
log1p,0.02352485656738281,0.0010231427534565798,0.004713582992553711,0.002244092948902706,0.001,{'regressor__model__alpha': 0.001},-21.24974402515511,-21.446148892350916,-22.127106059771172,-21.6272360676725,-21.445930152536516,-21.579233039497243,0.2988354723000441,1
log1p,0.01866307258605957,0.003347732550886061,0.0028768539428710937,9.888395550298524e-05,0.01,{'regressor__model__alpha': 0.01},-21.24363878234978,-21.455240579632665,-22.139483098234066,-21.634875605989276,-21.461867965266872,-21.587021206294533,0.3028019623426668,2
log1p,0.011557340621948242,0.0007458565895974124,0.0032344341278076174,0.00041426456968344925,0.1,{'regressor__model__alpha': 0.1},-21.329004014704687,-21.616155334459393,-22.294395189939465,-21.79254900378754,-21.64770697381316,-21.73596210334085,0.3171142081882749,3
log1p,0.012457466125488282,0.0006154407100997402,0.0027372360229492186,0.00035040525138383885,1.0,{'regressor__model__alpha': 1.0},-21.33779827644661,-21.62151520382824,-22.303225377557446,-21.798368544274282,-21.655808073725392,-21.74334309516639,0.3173222290549403,4
log1p,0.011378622055053711,0.0015115582423207627,0.002995014190673828,0.0010850500311104122,10.0,{'regressor__model__alpha': 10.0},-21.33779827644661,-21.62151520382824,-22.303225377557446,-21.798368544274282,-21.655808073725392,-21.74334309516639,0.3173222290549403,4
