target_transform,fold,seed,mae,equation,run_id
identity,0,42,25.683770584919873,Age/TC + LDL*5.4062605,20260824_111521_0Qxmh6
identity,1,43,25.966757430805313,TC + 21.948986,20260824_111859_odO00C
identity,2,44,26.525579334299298,Age/TC + LDL*5.4751077,20260824_112314_f8njfV
identity,3,45,25.88963932992311,-(-0.25290304)*Age + LDL*4.4543514,20260824_112721_S7o36S
identity,4,46,26.037859532777272,TC - 1*(-21.979565),20260824_113158_ek6XzS
log1p,0,42,21.30528159943903,LDL*Age*0.002043208 - 1*(-2.4146032),20260824_113642_1UZj13
log1p,1,43,21.536574382302643,LDL*0.111527726 + 2.351513,20260824_114053_fzjLRQ
log1p,2,44,22.213165645162704,LDL*0.112573944 + 2.3413608,20260824_114417_iD9cRd
log1p,3,45,21.68186316630928,LDL*Age*0.0018393459 - 1*(-2.441006),20260824_114715_bCK8R2
log1p,4,46,21.537678009733753,LDL*0.11401171 - 1*(-2.3402603),20260824_115003_rpFM19
