complexity,loss,equation,score,sympy_format,lambda_format
1,1.1119069,2.741497,0.0,2.74149700000000,PySRFunction(X=>2.74149700000000)
5,1.0996231,(LDL * 0.11428283) + 2.3422892,0.002777246143600552,LDL*0.11428283 + 2.3422892,PySRFunction(X=>LDL*0.11428283 + 2.3422892)
6,1.0985197,(square(LDL) * 0.0154372575) + 2.5368946,0.0010039384999698405,LDL**2*0.0154372575 + 2.5368946,PySRFunction(X=>LDL**2*0.0154372575 + 2.5368946)
7,1.0955356,((Age * 0.0018676439) * LDL) + 2.4363062,0.002720170125180453,Age*0.0018676439*LDL + 2.4363062,PySRFunction(X=>Age*0.0018676439*LDL + 2.4363062)
8,1.0948694,((square(LDL) + Age) * 0.009118525) + 2.1914198,0.0006082893533771027,(Age + LDL**2)*0.009118525 + 2.1914198,PySRFunction(X=>(Age + LDL**2)*0.009118525 + 2.1914198)
9,1.0925148,((LDL * 0.1111006) + 2.0502155) + (Age * 0.0065458165),0.0021528919423055436,Age*0.0065458165 + LDL*0.1111006 + 2.0502155,PySRFunction(X=>Age*0.0065458165 + LDL*0.1111006 + 2.0502155)
10,1.092057,((square(LDL) * 0.013892074) - (Age * -0.0062803216)) + 2.2690778,0.0004191210439514238,-(-0.0062803216)*Age + LDL**2*0.013892074 + 2.2690778,PySRFunction(X=>-(-0.0062803216)*Age + LDL**2*0.013892074 + 2.2690778)
11,1.0907364,((((14.474537 - TG) * LDL) + Age) * 0.007833316) + 1.9955862,0.0012100093037910012,(Age + LDL*(14.474537 - TG))*0.007833316 + 1.9955862,PySRFunction(X=>(Age + LDL*(14.474537 - TG))*0.007833316 + 1.9955862)
12,1.0906334,((((LDL * 16.561043) + Age) - square(TG)) * 0.006239293) + 2.106655,9.443607413697906e-05,(Age + LDL*16.561043 - TG**2)*0.006239293 + 2.106655,PySRFunction(X=>(Age + LDL*16.561043 - TG**2)*0.006239293 + 2.106655)
13,1.0894437,((((LDL + LDL) * (12.131571 - TG)) + Age) * 0.0062103565) + 1.9985098,0.0010914293977028879,(Age + (12.131571 - TG)*(LDL + LDL))*0.0062103565 + 1.9985098,PySRFunction(X=>(Age + (12.131571 - TG)*(LDL + LDL))*0.0062103565 + 1.9985098)
15,1.0884343,2.2899463 - (((LDL * -0.12465616) * ((LDL - TG) / 6.984111)) - (Age * 0.006528615)),0.00046347870370934543,2.2899463 - (-0.006528615*Age + LDL*(-0.12465616)*(LDL - TG)/6.984111),PySRFunction(X=>2.2899463 - (-0.006528615*Age + LDL*(-0.12465616)*(LDL - TG)/6.984111))
17,1.0881195,2.2899463 - (((LDL - Gender) * (-0.12465616 * ((LDL - TG) / 6.984111))) - (Age * 0.006528615)),0.0001446323092014504,2.2899463 - (-0.006528615*Age + (-Gender + LDL)*(-0.12465616)*(LDL - TG)/6.984111),PySRFunction(X=>2.2899463 - (-0.006528615*Age + (-Gender + LDL)*(-0.12465616)*(LDL - TG)/6.984111))
19,1.0880148,((((TC / 0.66444886) * ((LDL * 1.4027497) - TG)) - ((Gender * TC) - Age)) * 0.0066470183) + 2.2479656,4.811283939628962e-05,(TC*(LDL*1.4027497 - TG)/0.66444886 - (-Age + Gender*TC))*0.0066470183 + 2.2479656,PySRFunction(X=>(TC*(LDL*1.4027497 - TG)/0.66444886 - (-Age + Gender*TC))*0.0066470183 + 2.2479656)
20,1.0877966,((((((LDL * 1.4027497) - TG) * TC) / 0.66444886) - (square(Gender + HDL) - Age)) * 0.0066470183) + 2.2479656,0.0002005688551237586,(TC*(LDL*1.4027497 - TG)/0.66444886 - (-Age + (Gender + HDL)**2))*0.0066470183 + 2.2479656,PySRFunction(X=>(TC*(LDL*1.4027497 - TG)/0.66444886 - (-Age + (Gender + HDL)**2))*0.0066470183 + 2.2479656)
