target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__max_features,param_regressor__model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,1.8398262977600097,0.03179313656678003,0.1383603572845459,0.0104159781635056,1.0,50,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 50}",-26.41827090608983,-26.63030020849622,-27.02077240540423,-26.55199961770711,-26.62655693123072,-26.649580013785624,0.20085387814017022,4
identity,3.3214070320129396,0.17310337805324172,0.27421998977661133,0.01627334713222709,1.0,100,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 100}",-26.30427990183303,-26.528084579966986,-27.004643034015377,-26.465376354316,-26.5213664494548,-26.564750063917238,0.234287071924585,3
identity,18.19473190307617,0.8281373199016985,2.4237751960754395,0.14812530157239487,1.0,500,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 500}",-26.22091833736674,-26.399961272261315,-26.94274726219955,-26.390061250395636,-26.48033518857093,-26.486804662158836,0.24311400964169705,2
identity,39.16842460632324,0.3461159470782535,3.6036186695098875,0.21714470686780643,1.0,1000,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 1000}",-26.21145401144247,-26.38473904535413,-26.92957858402686,-26.394188782930872,-26.457599627388554,-26.475512010228577,0.24127873179087067,1
identity,5.666368389129639,0.30601411013058943,0.15061216354370116,0.01902894231362014,5.0,50,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 50}",-27.574364633828512,-27.829215376596295,-28.158339649854465,-27.762745427690167,-27.73758861809809,-27.812450741213507,0.1921874815485605,10
identity,10.730021429061889,0.5756338111675386,0.3281245708465576,0.02458250922455092,5.0,100,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 100}",-27.410224124750236,-27.693807466770917,-28.044456835657503,-27.675680824536254,-27.723248451279378,-27.70948354059886,0.20166365168091888,7
identity,54.63168296813965,0.6086214427686134,2.2580971717834473,0.2389692030399785,5.0,500,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 500}",-27.435127854350498,-27.691978222321506,-28.021336076905413,-27.594461143403276,-27.645081287756078,-27.67759691694736,0.19241803519109743,6
identity,106.06931838989257,0.44834410240201644,3.787870407104492,0.3592934432610606,5.0,1000,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 1000}",-27.428801402199138,-27.682153146203838,-28.001204385445565,-27.58776071270317,-27.654262568499316,-27.670836443010206,0.18709798311201056,5
identity,6.149962282180786,0.39064674022470103,0.15630393028259276,0.03378551168009277,1.0,50,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 50}",-27.765078142646164,-27.866976127182692,-28.263006881271995,-27.8160439897476,-27.855317216212693,-27.913284471412226,0.1784551801094353,12
identity,11.953354358673096,0.5690038766359836,0.30489435195922854,0.033313130204747764,1.0,100,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 100}",-27.643451142385544,-27.775940921727045,-28.1843435596681,-27.69931593466267,-27.793177983405013,-27.819245908369673,0.19033557308316607,11
identity,62.11110911369324,0.7906134607243267,1.5132884979248047,0.1468369281137789,1.0,500,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 500}",-27.53994231865173,-27.751745122305373,-28.1481208908169,-27.680381344727646,-27.74012807506842,-27.772063550314016,0.20255257562006282,8
identity,109.0195719242096,2.179638244336991,2.2393794536590574,0.3116291520737039,1.0,1000,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 1000}",-27.544827313439317,-27.7683310361621,-28.131110995823327,-27.6884890697126,-27.74131071726462,-27.77481382648039,0.1941432036364057,9
log1p,1.8453348636627198,0.05158119972169272,0.19430642127990722,0.01106928307335175,1.0,50,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 50}",-21.726745694681334,-21.935827825247074,-22.6720781156853,-22.09657359670956,-21.964234541838007,-22.079091954832258,0.31931267370833544,4
log1p,3.903023195266724,0.16224121441574857,0.3766411304473877,0.04260943075127797,1.0,100,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 100}",-21.661555247114745,-21.834606920869852,-22.591409346697905,-22.03078985104157,-21.871036318319412,-21.997879536808696,0.319130663221321,3
log1p,19.338185358047486,0.21431245052143036,1.5524070262908936,0.11543230239197093,1.0,500,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 500}",-21.607755219900184,-21.755251051113945,-22.549632652894324,-21.98069289166899,-21.811727551408616,-21.941011873397212,0.3268869384218961,2
log1p,39.383559465408325,1.0379369731689356,3.64502272605896,0.1676067391432688,1.0,1000,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 1000}",-21.59442663948251,-21.75135548950871,-22.541327002854118,-21.965503279672586,-21.807181136791762,-21.931958709661938,0.32697700810480446,1
log1p,5.734644937515259,0.23438906030825465,0.17472600936889648,0.03929055419560598,5.0,50,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 50}",-21.909217073361845,-22.116700770169594,-22.856002143703485,-22.309848004701415,-22.146832499082315,-22.26772009820373,0.3205606318452897,11
log1p,10.752269411087036,0.6709346229064647,0.3716880321502686,0.07281039064467315,5.0,100,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 100}",-21.828696581774626,-22.02913438131206,-22.762740846490424,-22.234485803552136,-22.064838343627986,-22.183979191351447,0.31683218295978505,9
log1p,55.39367780685425,0.5245882293679835,1.5289666175842285,0.19111055901457064,5.0,500,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 500}",-21.772409561426166,-21.926787526730774,-22.706942735753564,-22.1838281884493,-21.973977858278015,-22.112789174127563,0.32489643621733444,6
log1p,106.46237678527832,0.8739194516351122,3.82407922744751,0.16757310247800147,5.0,1000,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 1000}",-21.770862444155917,-21.93275991377448,-22.70507125036842,-22.178214219205312,-21.971320580684722,-22.11164568163777,0.3238548263241762,5
log1p,5.9661986351013185,0.3411887702111064,0.15929179191589354,0.027684599610111195,1.0,50,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 50}",-21.970517856227854,-22.12453779297923,-22.909427301612016,-22.330368821616894,-22.16881502983672,-22.300733360454544,0.3252310494841324,12
log1p,12.432615280151367,0.42035288163423723,0.3125615119934082,0.027197042174632324,1.0,100,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 100}",-21.895857422344537,-22.02370800060591,-22.81358809738812,-22.262809805136552,-22.083837892281945,-22.215960243551415,0.3213213313396227,10
log1p,62.561890316009524,0.7060599836980034,1.5625609874725341,0.18565919706873543,1.0,500,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 500}",-21.806086977560927,-21.956776862156314,-22.737614219373373,-22.203725971471787,-21.988368986140507,-22.13851460334058,0.3253469876242383,8
log1p,111.56147241592407,2.213014770528344,2.2145599365234374,0.3111313425134697,1.0,1000,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 1000}",-21.805401164263664,-21.950430206737742,-22.73077802034584,-22.2087388006095,-21.98330156588936,-22.13572995156922,0.3243763283938307,7
