target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__C,param_regressor__model__epsilon,param_regressor__model__kernel,param_regressor__model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,24.368470096588133,0.5053092046588173,2.175537443161011,0.03433868932965883,0.1,0.1,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-20.97846998124401,-21.204921254376004,-21.91586942755695,-21.395444821290333,-21.174200414229386,-21.333781179739336,0.31967048090128,6
identity,13.861108827590943,0.27494909357888486,1.103134775161743,0.02873834077722107,0.1,0.5,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-24.24360978867128,-24.455833369231765,-24.948022617814917,-24.550152117737145,-24.546023453935618,-24.548728269478143,0.2285484936753451,13
identity,8.285071516036988,0.5782873413109727,0.6469922542572022,0.3027857096322423,0.1,1.0,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-33.131321404779534,-33.287461689306575,-33.32237408182188,-33.23060620907447,-33.290726267252,-33.25249793044689,0.0674233558003782,21
identity,41.11738343238831,0.5317083462212061,2.2319682121276854,0.2111715173177175,0.5,0.1,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-20.978132637184927,-21.20507682875874,-21.915803308406254,-21.39542860791633,-21.17420768031134,-21.333729812515518,0.3197075375927057,5
identity,21.212110328674317,1.2533710702231324,1.1296141147613525,0.08361231493693314,0.5,0.5,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-24.2434106749436,-24.454611371221052,-24.949685395994145,-24.55038337623797,-24.54546691963246,-24.548711547605848,0.22928445902719236,12
identity,11.637232398986816,0.28032515998602703,0.5119606494903565,0.02827798066841878,0.5,1.0,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-33.13235592103499,-33.28697327006113,-33.32375064424482,-33.2307060286745,-33.29213598277177,-33.25318436935744,0.06744376453563809,23
identity,55.4838047504425,1.6396027880586126,2.2641687870025633,0.2215422952760875,1.0,0.1,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-20.978271619503424,-21.2050308861593,-21.91595772623081,-21.395334533407052,-21.173810863734438,-21.333681125807004,0.319772570461358,3
identity,29.390294122695924,1.7149838551224275,1.0205255985260009,0.04923498606762814,1.0,0.5,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-24.242211662118986,-24.45489176575434,-24.951126159083756,-24.55191881515185,-24.546170615092713,-24.54926380344033,0.23008566612097073,15
identity,15.854253339767457,0.9261099313402381,0.5015719890594482,0.03127991418489139,1.0,1.0,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-33.13227481552875,-33.28832234788195,-33.32390922675641,-33.23097876088355,-33.29186590589244,-33.253470211388624,0.06759400118947953,24
identity,300.9974486351013,5.953591725368914,2.049061489105225,0.07961950480851356,10.0,0.1,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-20.978082707244702,-21.20490860418565,-21.915813854348055,-21.395651967377827,-21.174159883654966,-21.333723403362242,0.319749437595486,4
identity,130.4546733856201,2.1643187311310683,0.9771459102630615,0.062132447580313596,10.0,0.5,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-24.24276190885536,-24.454899348738635,-24.95054467076551,-24.550065126655937,-24.546305469646324,-24.548915304932354,0.22973166206609602,14
identity,68.10826444625854,1.0706199237471932,0.5194578647613526,0.06278338153624054,10.0,1.0,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-33.13196617726862,-33.28802939074519,-33.323046453549345,-33.231237224388245,-33.29036067670467,-33.25292798453121,0.06730848795034679,22
identity,2570.935235309601,33.23853443484628,2.1494758129119873,0.12523523415214063,100.0,0.1,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-20.978395573433918,-21.204463246465423,-21.91604841924379,-21.395069721765324,-21.17373443572803,-21.333542279327297,0.3198212486751625,2
identity,1024.379674911499,47.66254048694369,1.0727369785308838,0.14717421492884858,100.0,0.5,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-24.24261906197045,-24.453562358785394,-24.94805689554712,-24.55165320028329,-24.54670241087128,-24.548518785491503,0.22901318258244854,11
identity,537.2775612354278,16.068560625960945,0.5106355667114257,0.051243376970851,100.0,1.0,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-33.13013537893951,-33.289962530183224,-33.32571132574063,-33.231433050447954,-33.29159274645396,-33.25376700635305,0.06884834425744152,25
identity,32.64515686035156,5.8038024778000965,7.946733236312866,4.585756859240474,0.1,0.1,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-20.991621999715363,-21.181980397071822,-21.876236626445703,-21.395452118881092,-21.134536834179425,-21.31596559525868,0.3086386017577315,1
identity,14.166562223434449,0.29314863111770123,2.7275673866271974,0.13492450787088558,0.1,0.5,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-24.25738722768834,-24.472079152267888,-24.962815588126738,-24.553634781687855,-24.533801808288263,-24.555943711611818,0.22900199009862618,16
identity,7.598774242401123,0.10027568029533244,1.4032692432403564,0.12477926780559939,0.1,1.0,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-33.14482986574533,-33.30380565659969,-33.32227577434125,-33.22508194803068,-33.303637031930506,-33.259926055329494,0.06661051120376758,26
identity,28.34441719055176,1.0104176514627685,12.043997001647949,5.379034713893882,0.5,0.1,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.021142235414192,-21.209263907340667,-21.8859643797619,-21.41507456757555,-21.158181216313015,-21.337925261281065,0.3018317551297734,7
