model_id,model_family,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
GLM_1_AutoML_2_20260824_114335,GLM,0.6338152036174952,0.3904116885395086,0.2267534202733347,0.3996073043524657,0.3407190259371209,0.1160894546355404,140,0.001642,GLM
StackedEnsemble_AllModels_1_AutoML_2_20260824_114335,StackedEnsemble,0.6337066254051675,0.3895141601936435,0.2243703889581171,0.4012327228587816,0.3404783366674514,0.1159254977398344,5461,0.03972,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_2_20260824_114335,StackedEnsemble,0.6329897424268698,0.3897206110425326,0.223982825841865,0.40613421547573,0.3405609887040522,0.1159817870270816,3718,0.026849,StackedEnsemble
XGBoost_grid_1_AutoML_2_20260824_114335_model_4,XGBoost,0.6009390014539342,0.3961850913954196,0.1819762545464159,0.4228817244461044,0.3436724301138437,0.1181107392203547,471,0.001675,XGBoost
XGBoost_grid_1_AutoML_2_20260824_114335_model_6,XGBoost,0.6007308620896638,0.3960837975549125,0.1825055481024634,0.4239659592631621,0.3435604706120738,0.1180337969671896,998,0.003318,XGBoost
GBM_grid_1_AutoML_2_20260824_114335_model_2,GBM,0.5978321706305273,0.4092149853104392,0.1900464732503398,0.4227658899011591,0.3480864245128515,0.1211641589301411,650,0.007289,GBM
GBM_5_AutoML_2_20260824_114335,GBM,0.5960377222585335,0.397784589494131,0.1835031845253323,0.4253620029612239,0.3443453141988424,0.1185736954106995,353,0.003412,GBM
GBM_3_AutoML_2_20260824_114335,GBM,0.5909095226026757,0.4007523899931744,0.179449172816708,0.4237688111085915,0.3453697696022008,0.1192802777550772,450,0.005072,GBM
GBM_1_AutoML_2_20260824_114335,GBM,0.5901551307873921,0.3991003847400314,0.1810671453402603,0.4312465152262935,0.3445281258989159,0.1186996295354192,666,0.007839,GBM
XGBoost_3_AutoML_2_20260824_114335,XGBoost,0.5860790460056824,0.4058965938961705,0.1798611113219155,0.4339623577745469,0.3471191538905346,0.1204917069976806,653,0.002062,XGBoost
GBM_grid_1_AutoML_2_20260824_114335_model_1,GBM,0.585495444783844,0.4016679637407621,0.1798878440676406,0.4310216756259254,0.3461417107615581,0.1198140839289381,343,0.006014,GBM
GBM_2_AutoML_2_20260824_114335,GBM,0.5799306913524256,0.4002993100361749,0.1732859455076306,0.4403252010831143,0.3451343715053612,0.1191177343944007,363,0.004093,GBM
GBM_4_AutoML_2_20260824_114335,GBM,0.5777892195440781,0.4064790205548195,0.1736808764241743,0.434327148554736,0.3473647675769625,0.1206622817537971,493,0.007581,GBM
XGBoost_1_AutoML_2_20260824_114335,XGBoost,0.5763626565647134,0.4174841424840814,0.175435152604314,0.4448484573623765,0.3511144076751346,0.1232813272770606,744,0.003736,XGBoost
XGBoost_2_AutoML_2_20260824_114335,XGBoost,0.5758213661646814,0.4255215935720332,0.176589997234914,0.4440980672011098,0.3536231210780715,0.1250493117609964,758,0.003801,XGBoost
XRT_1_AutoML_2_20260824_114335,XRT,0.5753370593178514,0.4398884671136239,0.1706232170362488,0.4483718870466459,0.3517272421488168,0.1237120528696124,1341,0.009571,DRF
DRF_1_AutoML_2_20260824_114335,DRF,0.5749268097480292,0.4725098801665448,0.1721834521376095,0.4307173364990863,0.3528975516484627,0.1245366819594794,1107,0.010345,DRF
XGBoost_grid_1_AutoML_2_20260824_114335_model_3,XGBoost,0.5734441702570395,0.4314171451094485,0.1770135247168957,0.4443257346369832,0.3552451818755012,0.1261991392457579,650,0.003679,XGBoost
XGBoost_grid_1_AutoML_2_20260824_114335_model_5,XGBoost,0.5655561098587416,0.4388475062091173,0.1738292922128854,0.4514054075684616,0.355265058171129,0.1262132615573356,643,0.003662,XGBoost
XGBoost_grid_1_AutoML_2_20260824_114335_model_2,XGBoost,0.5606563246141738,0.4424548946724746,0.1663225717989865,0.4520131254251757,0.3570073887021307,0.1274542755879142,877,0.003429,XGBoost
XGBoost_grid_1_AutoML_2_20260824_114335_model_1,XGBoost,0.5562800090704157,0.4669866321251745,0.1693268465025767,0.4641432592138084,0.359342129118311,0.1291267657592808,1037,0.004717,XGBoost
GBM_grid_1_AutoML_2_20260824_114335_model_3,GBM,0.5370730301858101,0.4344127741520809,0.1567404780427561,0.4907241126332217,0.3535580815248678,0.1250033170115451,442,0.007767,GBM
