target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,0.039035463333129884,0.003955113696188376,0.004279565811157226,0.0012348465408603517,0.001,{'regressor__model__alpha': 0.001},-58.951555839528694,-58.691184408044485,-58.91823148823128,-58.14779943058683,-57.09688752129758,-58.36113173753777,0.6945098457515129,1
identity,0.024335718154907225,0.010768755306343693,0.004511213302612305,0.0010435484586568647,0.01,{'regressor__model__alpha': 0.01},-59.01099754738578,-59.333136139469204,-59.573373575945595,-59.11975097055344,-57.70596833832811,-58.94864531433642,0.650465926658939,2
identity,0.00792555809020996,0.0008557314566114717,0.003351259231567383,0.001018889059112532,0.1,{'regressor__model__alpha': 0.1},-59.764471145671074,-59.99258924012474,-60.21545968656073,-59.68748530711075,-57.94281593277761,-59.52056426244898,0.8102259221496342,3
identity,0.006991147994995117,0.001126850319159203,0.00458984375,0.001209653763997613,1.0,{'regressor__model__alpha': 1.0},-59.764471145671074,-59.99258924012474,-60.21545968656073,-59.68748530711075,-57.94281593277761,-59.52056426244898,0.8102259221496342,3
identity,0.007944297790527344,0.002441968603485982,0.0031950950622558595,0.0009610841586476338,10.0,{'regressor__model__alpha': 10.0},-59.764471145671074,-59.99258924012474,-60.21545968656073,-59.68748530711075,-57.94281593277761,-59.52056426244898,0.8102259221496342,3
log1p,0.010345363616943359,0.001976594442455224,0.003937339782714844,0.0006732276648718173,0.001,{'regressor__model__alpha': 0.001},-50.16719543221171,-48.46424099123293,-48.83562707771099,-49.526301441373576,-46.58474061158327,-48.71562111082249,1.2151144561324823,1
log1p,0.008153915405273438,0.0006966758474048251,0.003290414810180664,0.0008897577193473956,0.01,{'regressor__model__alpha': 0.01},-50.4749793742019,-48.69105542712543,-49.07845842921936,-49.95070907056485,-46.916131069342256,-49.02226667409076,1.226461989764449,2
log1p,0.006329679489135742,0.00047131419319164055,0.0024727821350097657,0.0001865271894342236,0.1,{'regressor__model__alpha': 0.1},-51.13470537043346,-49.18195385513678,-49.593389741404856,-50.558187429273744,-47.446140078836436,-49.582875295017054,1.2716836305308146,3
log1p,0.006757593154907227,0.0005093631260178608,0.002529811859130859,0.0004060116612166939,1.0,{'regressor__model__alpha': 1.0},-51.13470537043346,-49.18730313045175,-49.593389741404856,-50.558187429273744,-47.446140078836436,-49.58394515008005,1.2713480950765685,4
log1p,0.006322240829467774,0.0003449431433336131,0.0028634071350097656,0.0006733795515641741,10.0,{'regressor__model__alpha': 10.0},-51.13470537043346,-49.18730313045175,-49.593389741404856,-50.558187429273744,-47.446140078836436,-49.58394515008005,1.2713480950765685,4
