target_transform,fold,seed,mae,equation,run_id
identity,0,42,59.310089811699605,LDL*(-12.136447) + TC**2 - 1*(-65.93069),20260824_115527_QXt8Dt
identity,1,43,58.40245386702636,(47.294617 - TG)*(-LDL + TC + 13.938132) - (-Age/TC + (HDL - 1*(-20.029541))*31.863823),20260824_115841_2DFKkf
identity,2,44,59.685749368870326,TC**2 - 5.6263776*TG + (Age - 1*(-311.60934))/(LDL + 2.1876256) - 1*34.45873,20260824_120154_XoPcgN
identity,3,45,59.027562297550645,95.71079 - LDL*(TC*(-3.1434355) - 1*(-30.390474)),20260824_120650_jeje22
identity,4,46,57.584840087376605,(LDL*(TC - 9.905321) + 29.433651)*3.6157744,20260824_121456_tOGqmw
log1p,0,42,50.32083602363416,-HDL - LDL + TC - 0.46943286*TG + 3.221494,20260824_121830_hHfvoc
log1p,1,43,49.21091293285844,2.5904248 - (-0.010719458)*Age,20260824_122046_MiDwql
log1p,2,44,49.0249389056849,TC/(0.3091304*(HDL + LDL + TG/1.9724932)),20260824_122300_iDgptW
log1p,3,45,50.390044810147536,(Age/(8.332524*LDL) + TC - TG)/6.1488485 - 1*(-2.107146),20260824_122518_YTaays
log1p,4,46,46.817155741672934,1.7731214 + (LDL - TC)/(((HDL + TG)*(-0.5273008))),20260824_122744_Mjsv8T
