complexity,loss,equation,score,sympy_format,lambda_format
1,1.87845,3.1164856,0.0,3.11648560000000,PySRFunction(X=>3.11648560000000)
5,1.8609613,(Age / 102.056076) + 2.621748,0.0023384466308711167,Age/102.056076 + 2.621748,PySRFunction(X=>Age/102.056076 + 2.621748)
7,1.8588438,(1.1667362 / (LDL - TC)) + 3.7398167,0.0005692503160239155,3.7398167 + 1.1667362/(LDL - TC),PySRFunction(X=>3.7398167 + 1.1667362/(LDL - TC))
8,1.8565854,(Age / (square(TG) + 84.17148)) + 2.5356421,0.001215687424828372,Age/(TG**2 + 84.17148) + 2.5356421,PySRFunction(X=>Age/(TG**2 + 84.17148) + 2.5356421)
9,1.8478007,((Age * (TC - LDL)) / 201.37448) + 2.6133413,0.004742873032339799,Age*(-LDL + TC)/201.37448 + 2.6133413,PySRFunction(X=>Age*(-LDL + TC)/201.37448 + 2.6133413)
11,1.8460242,((Age + ((TC - LDL) * 25.946087)) / 108.29679) + 2.1758535,0.00048093783139774147,(Age + (-LDL + TC)*25.946087)/108.29679 + 2.1758535,PySRFunction(X=>(Age + (-LDL + TC)*25.946087)/108.29679 + 2.1758535)
12,1.8332095,(((TC - LDL) / square(TG + 12.296001)) * Age) + 2.5776339,0.006965989586045002,Age*(-LDL + TC)/((TG + 12.296001)**2) + 2.5776339,PySRFunction(X=>Age*(-LDL + TC)/((TG + 12.296001)**2) + 2.5776339)
13,1.8322631,((Age * (TC - LDL)) / (cube(TG) + 187.54927)) + 2.5998502,0.0005163863568534905,Age*(-LDL + TC)/(TG**3 + 187.54927) + 2.5998502,PySRFunction(X=>Age*(-LDL + TC)/(TG**3 + 187.54927) + 2.5998502)
14,1.8267462,(((TC - LDL) * Age) / (square(square(TG)) + 174.566)) + 2.5792637,0.003015517987664322,Age*(-LDL + TC)/(TG**4 + 174.566) + 2.5792637,PySRFunction(X=>Age*(-LDL + TC)/(TG**4 + 174.566) + 2.5792637)
15,1.8193034,(((47.830692 * (TC - LDL)) + Age) / (114.93633 + cube(TG))) + 1.9202555,0.004082670920424014,(Age + 47.830692*(-LDL + TC))/(TG**3 + 114.93633) + 1.9202555,PySRFunction(X=>(Age + 47.830692*(-LDL + TC))/(TG**3 + 114.93633) + 1.9202555)
17,1.8171468,((Age + ((TC - LDL) * (49.342724 - HDL))) / (cube(TG) + 114.93633)) + 1.9202555,0.0005930509519509266,(Age + (49.342724 - HDL)*(-LDL + TC))/(TG**3 + 114.93633) + 1.9202555,PySRFunction(X=>(Age + (49.342724 - HDL)*(-LDL + TC))/(TG**3 + 114.93633) + 1.9202555)
18,1.8143693,((((TC - LDL) * (47.830692 - square(HDL))) + Age) / (cube(TG) + 114.93633)) + 1.9202555,0.0015296644514851293,(Age + (47.830692 - HDL**2)*(-LDL + TC))/(TG**3 + 114.93633) + 1.9202555,PySRFunction(X=>(Age + (47.830692 - HDL**2)*(-LDL + TC))/(TG**3 + 114.93633) + 1.9202555)
19,1.798369,(((Age + ((TC - LDL) * 58.500164)) - (HDL / 0.02577859)) / (cube(TG) + 98.79945)) + 2.0067399,0.008857771189961533,2.0067399 + (Age - HDL/0.02577859 + (-LDL + TC)*58.500164)/(TG**3 + 98.79945),PySRFunction(X=>2.0067399 + (Age - HDL/0.02577859 + (-LDL + TC)*58.500164)/(TG**3 + 98.79945))
20,1.7913334,((Age + (((TC - LDL) * 58.520493) - square(HDL / 0.28658724))) / (cube(TG) + 98.7924)) + 1.806541,0.003919884282767327,1.806541 + (Age - 12.1754858427618*HDL**2 + (-LDL + TC)*58.520493)/(TG**3 + 98.7924),PySRFunction(X=>1.806541 + (Age - 12.1754858427618*HDL**2 + (-LDL + TC)*58.520493)/(TG**3 + 98.7924))
