target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__max_features,param_regressor__model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,1.2827804565429688,0.025363821879062033,0.034367609024047854,0.002236405971109668,1.0,50,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 50}",-60.23256228119707,-61.34554138904573,-61.02297052512704,-61.01971722190853,-59.405209717514126,-60.6052002269585,0.703320362110009,4
identity,1.4603546142578125,0.3513537744114527,0.059944772720336915,0.012341328673822172,1.0,100,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 100}",-59.6445060417843,-61.34309034443817,-60.65599457933371,-60.47444409937888,-58.80998864406779,-60.18560474180057,0.8751657152282504,3
identity,4.818695592880249,0.03276698996344416,0.26473612785339357,0.006538227788602915,1.0,500,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 500}",-59.778697244494644,-61.11768749858837,-60.540802642574825,-60.300309689441,-58.86924736723164,-60.121348888466095,0.7597140797347184,2
identity,9.032824230194091,0.2627214796484157,0.5973548412322998,0.03320163269268963,1.0,1000,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 1000}",-59.88421211744777,-60.98430494071148,-60.59725229813665,-60.14430491247883,-58.764609694915265,-60.074936792738,0.7560302714598225,1
identity,1.2661884307861329,0.03530128959747852,0.032781124114990234,0.005260741971487098,5.0,50,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 50}",-62.45841716544326,-63.174879277244486,-62.597554376058724,-62.41350525127047,-61.64880892655367,-62.45863299931411,0.4878851234903136,11
identity,2.388949680328369,0.07890195228626612,0.057019376754760744,0.005891905434331557,5.0,100,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 100}",-62.00063811405986,-62.78410807453416,-62.6501948051948,-62.230555731225294,-61.406044350282485,-62.214308215059326,0.4927227147725487,7
identity,12.30589394569397,0.05466585790248123,0.26142048835754395,0.0061903713605230915,5.0,500,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 500}",-62.23462600790515,-62.56194382834556,-62.52424907961604,-62.05026840203276,-61.200851740112995,-62.1143878116025,0.4942487882811142,6
identity,25.232085275650025,0.4983991483237797,0.5727414608001709,0.08112217750640667,5.0,1000,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 1000}",-62.21275918690006,-62.54726067758329,-62.48722821569735,-61.989791084133266,-61.14755642372881,-62.076919117608554,0.5058326945605073,5
identity,1.2772351264953614,0.019959245399384994,0.026037931442260742,0.0014242905055358865,1.0,50,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 50}",-62.59651281761717,-63.10444664031621,-63.072348842461885,-62.90070491247883,-61.54344587570621,-62.64349181771606,0.5787684119321382,12
identity,2.9605578899383547,0.2680901872428365,0.20064153671264648,0.2823797442656343,1.0,100,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 100}",-62.12625471485036,-62.87364116318465,-62.78770067758329,-62.299812027103336,-61.316848700564975,-62.28085145665732,0.5589019124105092,8
identity,14.171693229675293,0.5339995749793713,0.25667080879211424,0.010224958082493038,1.0,500,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 500}",-62.29226201016375,-62.97359997741389,-62.76816913608131,-62.25997080745342,-61.27356301694916,-62.313512989612306,0.5877484764807048,10
identity,27.332630729675294,0.40390651640419417,0.4164147853851318,0.04286468348980833,1.0,1000,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 1000}",-62.326344703557304,-62.78033900621119,-62.727884997176744,-62.1656814003388,-61.46247383615819,-62.29254478868845,0.47617619334831257,9
log1p,0.36274232864379885,0.007311040432500176,0.030633163452148438,0.004200014935828758,1.0,50,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 50}",-50.825525236896226,-49.292006461070834,-49.838287633264606,-50.59775026658938,-47.72850427588673,-49.65641477474155,1.107758261378921,12
log1p,0.7426814079284668,0.018531155014699787,0.051659345626831055,0.004147208163084795,1.0,100,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 100}",-50.81773934876949,-49.12802867456402,-49.883517893958945,-50.42569794206748,-47.657399458858166,-49.58247666364362,1.1171362555359114,10
log1p,4.252097034454346,0.060783511434994754,0.31639485359191893,0.017425292289797223,1.0,500,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 500}",-50.801435097522536,-48.92501000518898,-49.63718204613893,-50.333999293910324,-47.49965285989171,-49.4394558605305,1.159463777790488,6
log1p,8.923125076293946,0.06978523643598959,0.5986824989318847,0.062189619217751534,1.0,1000,"{'regressor__model__max_features': 1, 'regressor__model__n_estimators': 1000}",-50.796472219484535,-48.86358280755022,-49.59024161246379,-50.30810761166531,-47.51929731702782,-49.41554031363833,1.1519170494982631,5
log1p,1.2165860176086425,0.14404016898470243,0.02993040084838867,0.002211749085896269,5.0,50,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 50}",-50.96386648016365,-48.94978671906217,-49.788703302192964,-50.33551420680559,-47.71105795695443,-49.54978573303576,1.1326953562229096,9
log1p,2.2902624130249025,0.06779955866833326,0.05795693397521973,0.006119130955761203,5.0,100,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 100}",-50.9362404375406,-48.87614059081485,-49.56560969189144,-50.31911162201727,-47.53568750467041,-49.446557969386916,1.1808030287882223,7
log1p,12.553843450546264,0.16907626316375468,0.29985857009887695,0.0168672917836013,5.0,500,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 500}",-50.76467408817787,-48.62102611810082,-49.68750687290478,-50.20037035552871,-47.48242614875654,-49.35120071669375,1.171116664412088,1
log1p,24.444331312179564,0.6680185823200713,0.546794319152832,0.02869922925598818,5.0,1000,"{'regressor__model__max_features': 5, 'regressor__model__n_estimators': 1000}",-50.80781368856764,-48.59006901702508,-49.68168545650387,-50.23435709252419,-47.49564722975221,-49.361914496874604,1.1859791717362687,2
log1p,1.2414711952209472,0.01632670256844347,0.0274503231048584,0.0025877292577896694,1.0,50,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 50}",-50.75477150386004,-49.06755191895536,-49.99911158299215,-50.42324375842485,-47.672384173640374,-49.58341258757456,1.1107065849608098,11
log1p,2.802359962463379,0.22746149167510912,0.05844759941101074,0.006125813295178632,1.0,100,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 100}",-50.758955835632534,-48.8613006639883,-49.731375090952824,-50.35648791696266,-47.56757474081373,-49.455138849670014,1.1405452547626433,8
log1p,13.430328416824342,0.22482283214530097,0.26250243186950684,0.01629363049288398,1.0,500,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 500}",-50.79890469924518,-48.613186534583726,-49.65589878740689,-50.26347471346403,-47.52506698975384,-49.37130634489073,1.174592671594012,3
log1p,26.51407027244568,0.47219654163723507,0.4208968639373779,0.03557206109081336,1.0,1000,"{'regressor__model__max_features': 1.0, 'regressor__model__n_estimators': 1000}",-50.79828506525762,-48.67143779256446,-49.69253395220747,-50.2456972646009,-47.51326213304762,-49.384243241535614,1.170070287784364,4
