target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__C,param_regressor__model__epsilon,param_regressor__model__kernel,param_regressor__model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,1.3893120765686036,0.0377046418999485,0.11510076522827148,0.005626548079822626,0.1,0.1,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-50.33384803367392,-48.38786928272968,-48.74970877692908,-49.706448154677275,-46.65250226230635,-48.766075302063264,1.2611670064275982,8
identity,0.7716449737548828,0.02104225039516691,0.05244636535644531,0.0021127793497490244,0.1,0.5,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-56.83989133347735,-56.52832755295462,-56.66952579782094,-56.69381745677828,-54.74710200436148,-56.29573282907853,0.7805970495768572,15
identity,0.4328829288482666,0.02624016165800901,0.033733701705932616,0.004295867770882102,0.1,1.0,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-78.36023831630597,-79.32492582904479,-79.05263315091926,-78.21182326618597,-77.75409899246263,-78.54074391098372,0.572110682070333,27
identity,2.710494375228882,0.05555636975918276,0.11203126907348633,0.00571409511402467,0.5,0.1,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-50.32876245119147,-48.38564590840942,-48.7526805475202,-49.70356410702792,-46.65273836011836,-48.76467827485347,1.259520988332748,7
identity,1.4118258476257324,0.2100386766115918,0.06888022422790527,0.01579834851831434,0.5,0.5,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-56.83606810707142,-56.51905956450706,-56.67103945003604,-56.68731949012515,-54.738149186037035,-56.29032715955534,0.7825538850456815,12
identity,0.7258079051971436,0.0442889112127974,0.03286924362182617,0.0032838022421523296,0.5,1.0,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-78.35413069733261,-79.32820735855188,-79.02804916587735,-78.1977288259872,-77.74795806397007,-78.53121482234383,0.5723817457468137,24
identity,3.226581859588623,0.4309871192821981,0.1205780029296875,0.008324815025142904,1.0,0.1,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-50.32884961377087,-48.38380326466899,-48.7517956656384,-49.7024943780358,-46.65333433025143,-48.764055450473094,1.2592961580770912,5
identity,1.9587955951690674,0.28956161236160866,0.061576032638549806,0.0073563710211756285,1.0,0.5,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-56.8361353489071,-56.519543427707305,-56.67021132378368,-56.68839406857096,-54.7394472844592,-56.29074629068566,0.7821052906172367,14
identity,1.544799566268921,0.27872183950174445,0.030037879943847656,0.002787696713661483,1.0,1.0,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-78.34921744015683,-79.3287592268232,-79.04078364268932,-78.19604686290914,-77.74713323660562,-78.53238808183683,0.575495459294637,26
identity,26.24318962097168,0.39545068047403653,0.10232906341552735,0.003158810993293405,10.0,0.1,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-50.329091374486715,-48.38271104815719,-48.751699901407946,-49.70275665683153,-46.65330432586071,-48.76391266134881,1.2594716208911663,4
identity,11.950590372085571,5.290832038727559,0.0537010669708252,0.004324306777807991,10.0,0.5,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-56.83775982472828,-56.51849143309466,-56.674245580113535,-56.68662650543355,-54.73599206598495,-56.29062308187099,0.7838552326877526,13
identity,6.437701463699341,5.239992363921054,0.02796015739440918,0.0029911945243549717,10.0,1.0,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-78.34971236870375,-79.33130979750172,-79.02309964189482,-78.20732656186492,-77.7451377515855,-78.53131722431014,0.5723401959800152,25
identity,101.63450994491578,1.0547943618806999,0.11866989135742187,0.022018604035430614,100.0,0.1,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-50.33190541652144,-48.38242607479313,-48.75100335929463,-49.70288124613854,-46.65406621890022,-48.76445646312959,1.2599533706775337,6
identity,55.40160479545593,2.8803721254296306,0.05641517639160156,0.00888798914207568,100.0,0.5,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-56.8414353013796,-56.515783972964705,-56.66442947129933,-56.684302072121575,-54.739780649097966,-56.28914629337263,0.7815250781578658,11
identity,33.8143630027771,1.8028328006804284,0.03159184455871582,0.004571794227112438,100.0,1.0,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-78.3455784077581,-79.3228822185915,-79.02963885072145,-78.19699197579307,-77.73384364080108,-78.52578701873304,0.5756705766003986,23
identity,1.4235748767852783,0.33983920877807433,0.42424578666687013,0.32507838483157914,0.1,0.1,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.265107411378686,-48.185575840272016,-48.8622004392129,-49.71637804822157,-46.65286423318683,-48.7364251944544,1.2615591637701669,2
identity,0.6786252021789551,0.04396939951249458,0.1352682590484619,0.018641074602857247,0.1,0.5,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-57.001117392677266,-56.62173180168958,-56.811373271841575,-56.88435490470073,-54.9048141660545,-56.44467830739272,0.7797351699682166,16
identity,0.5009584426879883,0.01696487016821097,0.08373560905456542,0.00510562407882997,0.1,1.0,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-78.51356922681417,-79.4928706595107,-79.28252102159242,-78.45499842998639,-77.81690378040857,-78.71217262366244,0.6069390241255458,30
identity,1.344816541671753,0.01858270427640054,0.26776690483093263,0.034245432095520896,0.5,0.1,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.286635911684414,-48.061896491992194,-48.92122029615172,-49.66205760171251,-46.58662339170548,-48.70368673864927,1.2934740492099481,1
identity,0.7822746753692627,0.058904449273538065,0.13496112823486328,0.025003042015855913,0.5,0.5,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-57.01045664783402,-56.61336816563287,-56.9121054534568,-56.93023562377224,-54.95101071839214,-56.483435321817616,0.7779907170073476,17
identity,0.445540189743042,0.017779452168188527,0.07236566543579101,0.008992707905120294,0.5,1.0,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-78.48740906832923,-79.41854123054655,-79.28924188862695,-78.47595875415632,-77.78002496074764,-78.69023518048134,0.6007951733697702,29
identity,1.3815280437469482,0.02896154677628291,0.26481175422668457,0.020337886819863708,1.0,0.1,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.30211358098467,-48.01026052897225,-49.044560986206164,-49.71339272321701,-46.617435416755335,-48.73755264722709,1.3052371267911378,3
identity,0.7981953144073486,0.03206714610144935,0.14197001457214356,0.010132412233169262,1.0,0.5,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-57.013579193957305,-56.60766000683408,-57.02188949309662,-56.92371761229008,-54.973870765482566,-56.50814341433213,0.7817926052311641,18
identity,0.48323631286621094,0.022520095494595715,0.07512106895446777,0.006584542707261045,1.0,1.0,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-78.4520672997957,-79.38966322651349,-79.29564542467766,-78.48192374867126,-77.7967328713661,-78.68320651420484,0.5922732668310094,28
identity,3.0434500694274904,0.08339212780605679,0.27243809700012206,0.02615147724330422,10.0,0.1,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.713594529711656,-48.07260772168102,-49.836439977782014,-49.86314285502701,-47.013598292247266,-49.09987667528979,1.3518154510130294,9
